Region,Incident_Date,Year,Reported_Month,Number_Dead,Minimum_Estimated_Number_of_Missing,Total Number_of_Dead_and_Missing,Number_of_Survivors,Number_of_Females,Number_of_Males,Number_of_Children,Cause_of_Death
Mediterranean,"Mon, 02/07/2022 - 12:00",2022,February,2.0,0.0,2,0.0,0.0,2.0,0.0,Drowning
Northern Africa,"Mon, 02/07/2022 - 12:00",2022,February,0.0,4.0,4,53.0,1.0,3.0,0.0,Drowning
Europe,"Tue, 01/25/2022 - 12:00",2022,January,2.0,0.0,2,0.0,0.0,2.0,0.0,Vehicle accident / death linked to hazardous transport
Mediterranean,"Thu, 02/10/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Mediterranean,"Sun, 02/13/2022 - 12:00",2022,February,1.0,0.0,1,0.0,1.0,0.0,0.0,Drowning
South America,"Sat, 01/29/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,0.0,1.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
Central America,"Tue, 02/08/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
North America,"Sun, 02/06/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
Central America,"Sun, 02/06/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
South America,"Thu, 02/03/2022 - 12:00",2022,February,6.0,0.0,6,0.0,0.0,0.0,2.0,Vehicle accident / death linked to hazardous transport
Europe,"Mon, 02/14/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,0.0,0.0,Vehicle accident / death linked to hazardous transport
Mediterranean,"Mon, 02/14/2022 - 12:00",2022,February,1.0,0.0,1,333.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Mediterranean,"Sun, 02/13/2022 - 12:00",2022,February,0.0,3.0,3,18.0,0.0,0.0,0.0,Drowning
Mediterranean,"Sun, 02/13/2022 - 12:00",2022,February,0.0,2.0,2,0.0,0.0,0.0,0.0,Drowning
Mediterranean,"Thu, 02/17/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Mediterranean,"Thu, 02/17/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Mediterranean,"Fri, 02/18/2022 - 12:00",2022,February,1.0,0.0,1,94.0,0.0,0.0,0.0,Violence
Mediterranean,"Sun, 02/20/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Europe,"Sat, 02/19/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
North America,"Sat, 02/19/2022 - 12:00",2022,February,1.0,0.0,1,5.0,0.0,0.0,0.0,Violence
Caribbean,"Sat, 02/19/2022 - 12:00",2022,February,2.0,0.0,2,7.0,0.0,0.0,0.0,Drowning
Caribbean,"Mon, 02/07/2022 - 12:00",2022,February,1.0,0.0,1,9.0,1.0,0.0,0.0,Drowning
South America,"Sat, 02/12/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Violence
South America,"Tue, 02/15/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
South America,"Mon, 02/07/2022 - 12:00",2022,February,8.0,0.0,8,0.0,0.0,8.0,0.0,Drowning
South America,"Thu, 02/03/2022 - 12:00",2022,February,2.0,0.0,2,0.0,0.0,1.0,1.0,Vehicle accident / death linked to hazardous transport
North America,"Wed, 02/02/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Central America,"Wed, 02/16/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Southern Asia,"Wed, 02/09/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,1.0,Violence
Northern Africa,"Wed, 02/23/2022 - 12:00",2022,February,3.0,10.0,13,47.0,0.0,0.0,0.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
Mediterranean,"Thu, 02/24/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,0.0,0.0,Drowning
Europe,"Sun, 02/27/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Mediterranean,"Sun, 02/27/2022 - 12:00",2022,February,1.0,49.0,50,0.0,0.0,0.0,1.0,Drowning
Mediterranean,"Tue, 03/01/2022 - 12:00",2022,March,6.0,0.0,6,0.0,3.0,3.0,0.0,Drowning
Mediterranean,"Tue, 03/01/2022 - 12:00",2022,March,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Mediterranean,"Mon, 02/28/2022 - 12:00",2022,February,9.0,11.0,20,9.0,3.0,5.0,1.0,Drowning
Europe,"Mon, 02/28/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Violence
Central America,"Sun, 02/27/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Violence
Eastern Africa,"Thu, 01/20/2022 - 12:00",2022,January,2.0,0.0,2,14.0,0.0,2.0,0.0,Vehicle accident / death linked to hazardous transport
Eastern Africa,"Mon, 02/07/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Central America,"Sat, 02/12/2022 - 12:00",2022,February,0.0,1.0,1,2.0,1.0,0.0,0.0,Mixed or unknown
Caribbean,"Sat, 02/19/2022 - 12:00",2022,February,4.0,0.0,4,0.0,1.0,3.0,0.0,Drowning
Caribbean,"Fri, 02/18/2022 - 12:00",2022,February,2.0,0.0,2,0.0,0.0,0.0,0.0,Drowning
South America,"Tue, 02/22/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Violence
South America,"Mon, 02/21/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Violence
Central America,"Sun, 02/20/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Central America,"Mon, 02/21/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Central America,"Tue, 02/22/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Central America,"Tue, 02/22/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Central America,"Tue, 02/08/2022 - 12:00",2022,February,1.0,0.0,1,0.0,1.0,0.0,0.0,Vehicle accident / death linked to hazardous transport
North America,"Sat, 02/19/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Violence
North America,"Tue, 02/01/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
North America,"Wed, 02/23/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
North America,"Mon, 02/28/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Accidental death
Caribbean,"Tue, 03/01/2022 - 12:00",2022,March,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Mediterranean,"Sat, 02/26/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Northern Africa,"Tue, 03/01/2022 - 12:00",2022,March,1.0,0.0,1,0.0,0.0,1.0,0.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
Northern Africa,"Wed, 03/02/2022 - 12:00",2022,March,1.0,0.0,1,0.0,0.0,0.0,1.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
Northern Africa,"Wed, 03/02/2022 - 12:00",2022,March,2.0,0.0,2,0.0,0.0,0.0,0.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
South-eastern Asia,"Sun, 02/20/2022 - 12:00",2022,February,3.0,0.0,3,4.0,0.0,0.0,0.0,Vehicle accident / death linked to hazardous transport
Europe,"Mon, 03/07/2022 - 12:00",2022,March,1.0,0.0,1,3.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Mediterranean,"Tue, 02/22/2022 - 12:00",2022,February,1.0,0.0,1,573.0,0.0,0.0,0.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
Western Asia,"Wed, 03/02/2022 - 12:00",2022,March,1.0,0.0,1,0.0,0.0,1.0,0.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
Eastern Africa,"Sat, 01/15/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Violence
Europe,"Sat, 01/15/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Europe,"Mon, 02/28/2022 - 12:00",2022,February,1.0,0.0,1,1.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Europe,"Sat, 03/05/2022 - 12:00",2022,March,1.0,0.0,1,0.0,1.0,0.0,0.0,Sickness / lack of access to adequate healthcare
North America,"Sat, 02/26/2022 - 12:00",2022,February,1.0,0.0,1,0.0,1.0,0.0,0.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
Central America,"Sun, 03/06/2022 - 12:00",2022,March,1.0,0.0,1,63.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Central America,"Tue, 03/08/2022 - 12:00",2022,March,1.0,0.0,1,0.0,1.0,0.0,0.0,Sickness / lack of access to adequate healthcare
North America,"Fri, 03/04/2022 - 12:00",2022,March,0.0,1.0,1,0.0,0.0,0.0,1.0,Drowning
Central America,"Sat, 03/05/2022 - 12:00",2022,March,1.0,0.0,1,4.0,0.0,1.0,0.0,Violence
Central America,"Mon, 03/07/2022 - 12:00",2022,March,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Caribbean,"Mon, 02/28/2022 - 12:00",2022,February,9.0,0.0,9,0.0,0.0,0.0,9.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
Central America,"Tue, 03/08/2022 - 12:00",2022,March,3.0,0.0,3,0.0,1.0,1.0,1.0,Drowning
Central America,"Tue, 03/08/2022 - 12:00",2022,March,1.0,0.0,1,0.0,1.0,0.0,0.0,Sickness / lack of access to adequate healthcare
North America,"Mon, 02/07/2022 - 12:00",2022,February,1.0,0.0,1,4.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Mediterranean,"Sat, 03/12/2022 - 12:00",2022,March,1.0,20.0,21,6.0,0.0,0.0,0.0,Drowning
Mediterranean,"Sat, 03/12/2022 - 12:00",2022,March,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Mediterranean,"Sun, 03/13/2022 - 12:00",2022,March,2.0,0.0,2,0.0,1.0,1.0,0.0,Drowning
Northern Africa,"Sat, 03/12/2022 - 12:00",2022,March,5.0,39.0,44,17.0,3.0,0.0,2.0,Drowning
Mediterranean,"Fri, 03/04/2022 - 12:00",2022,March,0.0,40.0,40,0.0,0.0,0.0,0.0,Drowning
Mediterranean,"Fri, 03/04/2022 - 12:00",2022,March,0.0,20.0,20,0.0,0.0,0.0,0.0,Drowning
Mediterranean,"Sun, 03/13/2022 - 12:00",2022,March,0.0,24.0,24,0.0,0.0,0.0,0.0,Drowning
Central America,"Wed, 03/09/2022 - 12:00",2022,March,1.0,1.0,2,1.0,1.0,0.0,1.0,Drowning
Central America,"Thu, 03/10/2022 - 12:00",2022,March,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
South America,"Tue, 03/15/2022 - 12:00",2022,March,1.0,0.0,1,0.0,0.0,1.0,0.0,Violence
Central America,"Tue, 03/15/2022 - 12:00",2022,March,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Central America,"Tue, 03/15/2022 - 12:00",2022,March,3.0,0.0,3,0.0,2.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Europe,"Fri, 03/18/2022 - 12:00",2022,March,1.0,0.0,1,0.0,0.0,1.0,0.0,Mixed or unknown
Europe,"Sun, 03/13/2022 - 12:00",2022,March,1.0,0.0,1,21.0,1.0,0.0,0.0,Vehicle accident / death linked to hazardous transport
South-eastern Asia,"Wed, 03/16/2022 - 12:00",2022,March,6.0,0.0,6,12.0,3.0,2.0,1.0,Vehicle accident / death linked to hazardous transport
Western Asia,"Wed, 03/16/2022 - 12:00",2022,March,2.0,0.0,2,0.0,0.0,1.0,0.0,Violence
Mediterranean,"Tue, 03/22/2022 - 12:00",2022,March,5.0,3.0,8,0.0,0.0,8.0,0.0,Drowning
Southern Asia,"Thu, 01/20/2022 - 12:00",2022,January,1.0,0.0,1,0.0,1.0,0.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Thu, 01/20/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Sun, 01/23/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Sun, 01/23/2022 - 12:00",2022,January,1.0,0.0,1,0.0,1.0,0.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Sun, 01/23/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Mon, 01/24/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Accidental death
Southern Asia,"Mon, 01/24/2022 - 12:00",2022,January,1.0,0.0,1,0.0,1.0,0.0,0.0,Violence
Southern Asia,"Mon, 01/24/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Wed, 01/26/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,0.0,1.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Sat, 01/29/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Sat, 01/29/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Sat, 01/29/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Sun, 01/30/2022 - 12:00",2022,January,1.0,0.0,1,0.0,1.0,0.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Sun, 01/30/2022 - 12:00",2022,January,1.0,0.0,1,0.0,1.0,0.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Wed, 02/02/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Accidental death
Southern Asia,"Wed, 02/02/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Wed, 02/02/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Thu, 02/03/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Thu, 02/03/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Sat, 02/05/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Sat, 02/05/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Accidental death
Southern Asia,"Sun, 02/06/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Accidental death
Southern Asia,"Mon, 02/07/2022 - 12:00",2022,February,1.0,0.0,1,0.0,1.0,0.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Mon, 02/07/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Accidental death
Southern Asia,"Tue, 02/08/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Accidental death
Southern Asia,"Thu, 02/10/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Thu, 02/10/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Accidental death
